model,accuracy,f1_macro,precision_macro,recall_macro
final_model.joblib,0.7161926871735346,0.7064859900504592,0.7076971751729033,0.705561598249844
GBM_NoDraw.joblib,0.7150319210679048,0.7044965678587487,0.7064842921337124,0.7031621436329603
KNN_NoDraw.joblib,0.6455794157477268,0.6450101125698163,0.6541732625374855,0.6574281488556968
LogisticRegression_NoDraw.joblib,0.7041981040820274,0.7021174518844968,0.7042796057388774,0.710221003412496
RandomForest_NoDraw.joblib,0.7161926871735346,0.7064859900504592,0.7076971751729033,0.705561598249844
XGB_NoDraw.joblib,0.7136776939446702,0.7051113235475515,0.7052825511498118,0.7049481963071093
